word,count
poison,4
YOU,4
erised,4
decoration,4
behave,4
ourselves,4
everywhere,4
Friday,4
deliver,4
fair,4
nail,4
choice,4
desperately,4
Stay,4
Thank,4
rain,4
brass,4
trick,4
reflect,4
softly,4
ring,4
shocked,4
magical,4
earn,4
slop,4
Life,4
Elixir,4
mount,4
toast,4
freeze,4
wet,4
boa,4
constrictor,4
immediately,4
scared,4
promise,4
takin,4
aside,4
sparkle,4
coldly,4
roof,4
temper,4
rage,4
braver,4
Stop,4
balloon,4
peppermint,4
anger,4
didn,4
counter,4
wouldn,4
Yeah,4
puff,4
gleam,4
shame,4
gulp,4
country,4
eight,4
contain,4
whirl,4
NOT,4
hum,4
swell,4
scribble,4
knowin,4
stammer,4
bank,4
incredible,4
Blimey,4
await,4
lookin,4
heaven,4
heavily,4
space,4
Wizards,4
Lily,4
dunno,4
ours,4
stump,4
had,4
sideways,4
rumor,4
fold,4
bar,4
lump,4
fault,4
Against,4
bury,4
glint,4
soar,4
Snare,4
dart,4
honestly,4
borrow,4
brightly,4
Parvati,4
plump,4
Dragon,4
distance,4
flicker,4
tick,4
pointed,4
somebody,4
slither,4
bartender,4
duel,4
pipe,4
sense,4
scratch,4
following,4
obvious,4
Dedalus,4
lower,4
Transfiguration,4
clue,4
telescope,4
Oliver,4
muggles,4
overcoat,4
Underground,4
Could,4
lit,4
child,4
party,4
brick,4
record,4
squashy,4
result,4
screech,4
spiral,4
fir,4
Hurry,4
trail,4
risk,4
smooth,4
ink,4
roughly,4
banquet,4
test,4
shiny,4
direct,4
zoom,4
Friar,4
double,4
rude,4
group,4
bill,4
concern,4
brandy,4
stroke,4
disgust,4
collapse,4
racing,4
date,4
strong,4
complete,4
stunned,4
punch,4
Sprout,4
nonsense,4
ruin,4
extremely,4
building,4
blame,4
wheel,4
tape,4
Dad,4
threaten,4
among,4
Hat,4
strike,4
Make,4
Nick,4
championship,4
ing,4
serious,4
concentrate,4
Johnson,4
Angelina,4
Stonewall,4
Smeltings,4
accept,4
pie,4
September,4
sport,4
Thanks,4
offer,4
hamburger,4
deeply,4
taste,4
beast,4
Will,4
delicious,4
flop,4
slot,4
limp,4
noticing,4
unpleasant,4
bowl,4
unfortunately,4
Dunno,4
gryffindor,4
dirty,4
ajar,4
danger,4
ought,4
merrily,4
thirty,4
rang,4
potato,4
wildly,4
leapt,4
stern,4
Bott,4
circle,4
owlery,4
rare,4
wheeze,4
wine,4
Frog,4
fling,4
downstairs,4
pumpkin,4
clock,4
topple,4
beak,4
turkey,4
insist,4
shortly,4
Bell,3
Pucey,3
Hang,3
badge,3
Agrippa,3
proudly,3
Guide,3
especially,3
nettle,3
Thomas,3
House,3
continue,3
restricted,3
nighttime,3
bloody,3
chicken,3
Fungi,3
scale,3
steak,3
traffic,3
bezoar,3
jostle,3
sleepily,3
surely,3
guarding,3
Good,3
pudding,3
attack,3
ARE,3
pea,3
Spells,3
penalty,3
sleeping,3
buck,3
confusion,3
Hannah,3
interfere,3
Gran,3
definitely,3
song,3
century,3
skip,3
nag,3
Things,3
irritably,3
advice,3
damage,3
askin,3
page,3
swap,3
sweaty,3
Prophet,3
sunlight,3
wound,3
Daily,3
Midnight,3
tip,3
guardin,3
Herbs,3
claw,3
rear,3
Tap,3
Head,3
ankle,3
splutter,3
Algie,3
did,3
banner,3
perform,3
tart,3
sadly,3
treacle,3
Side,3
lily,3
effort,3
village,3
wife,3
tie,3
normally,3
sayin,3
captain,3
strength,3
everythin,3
needle,3
deal,3
wandering,3
sleepy,3
impress,3
firmly,3
Should,3
OUT,3
Famous,3
dawn,3
powdered,3
plain,3
wriggle,3
trouser,3
rustling,3
drain,3
blurt,3
squeal,3
dance,3
chat,3
terrified,3
pierce,3
interrupt,3
eyebrow,3
Bettie,3
Nicholas,3
keen,3
bound,3
flush,3
idiot,3
tut,3
grateful,3
determine,3
defeat,3
gloomy,3
goin,3
calmly,3
silly,3
men,3
boring,3
flatten,3
paw,3
neighbor,3
okay,3
impatiently,3
whose,3
grubby,3
coolly,3
cough,3
tuck,3
impressed,3
Hello,3
relax,3
melt,3
amaze,3
accident,3
Britain,3
mixed,3
slight,3
excite,3
Say,3
stray,3
creature,3
underground,3
difficulty,3
Firs,3
sway,3
fork,3
title,3
plunge,3
speaking,3
slump,3
choke,3
whimper,3
chalk,3
cost,3
Galleons,3
Pince,3
comfort,3
Malfay,3
downward,3
toadless,3
fudge,3
stiffly,3
skyward,3
prickle,3
Charms,3
silvery,3
crumple,3
wands,3
misty,3
flit,3
Funny,3
countryside,3
lately,3
bean,3
spindly,3
simple,3
Owls,3
Wednesday,3
Better,3
cracker,3
